Accession,3-hydroxypropyl,3-methylsulfinylpropyl,Unknown Alkenyl,(S)2-hydroxy-but-3-enyl,(R)2-hydroxy-but-3-enyl,4-methylsulfinylbutyl,Allyl,5-methylsulfinylpentyl,But-3-enyl,3-methylthiopropyl,7-methylsulfinylheptyl,Pent-4-enyl ,4-methylthiobutyl ,8-methylsulfinyloctyl ,Indol-3-ylmethyl ,4-methoxy-indol-3-ylmethyl ,N-methoxy-indol-3-ylmethyl ,7-methylthioheptyl ,8-methylthiooctyl ,Total C3 Aliphatic ,Total C4 Aliphatic,Total C5 Aliphatic,Total C7 Aliphatic,Total C8 Aliphatic,Total C3 and C4 Aliphatic,Total C7 and C8 Aliphatic ,Total Alkenyl Aliphatic,Total Methylsulfinyl Aliphatic,Total Hydroxyalkyl Aliphatic,Total Hydroxyalkenyl Aliphatic ,Ratio of C3 to SC Aliphatic,Ratio of C7 to LC Aliphatic,Ratio of C3 methylthio to total C3,Ratio of C4 methylthio to total C4,Ratio of C7 methylthio to total C7,Ratio of C8 methylthio to total C8,Total Indolic Glucosinolate,Total Indolic Glucosinolate with 4 hydroxylation,Ratio of TOH4 to TIND,Ratio of NMOI3M to TIND,4-hydroxybutyl (2007),5-methylthiopentyl (2007),4-hydroxy-indol-3-ylmethyl (2008)
Edi-0,0,0.093178979,0,0,0,0,11.50559492,0,0,0.240290187,0,0,0,1.424772768,1.054068042,0.121442413,0.018098568,0.011511903,0.557611198,11.83906408,0,0,0.011511903,1.982383966,11.83906408,1.993895868,11.50559492,1.517951748,0,0,1,0.005512549,0.020470488,0,0.5,0.280884845,1.201401784,0.129235174,0.108561451,0.113921957,0,0,0.015585523
Ei-2,0.020128075,0.064708264,0,0.014512506,0.010874115,0,8.877347777,0,0.012241428,0.02379193,0.012026515,0,0,1.548257581,0.779617006,0.258258517,0.012532677,0.011216036,0.799928355,8.985976047,0.037628049,0.010586827,0.023242551,2.348185936,9.023604096,2.371428487,8.914975826,1.624992361,0.020128075,0.025386621,0.996134577,0.008432127,0.00246312,0,0.24128238,0.342098739,1.050408199,0.258258517,0.237786815,0.214629286,0,0.021173654,0
Est-1,0.091497717,0.06770133,0,0,0,1.064242886,0,0.036340669,0,0.003201077,0,0,0.526584706,0.775024982,1.008294306,0.268737542,0.005185114,0.00842155,0.131574236,0.162400124,1.590827593,0.036340669,0.00842155,0.906599218,1.753227717,0.915020768,0,1.943309867,0.091497717,0,0.080836072,0.009900107,0.009855526,1.209392502,0.5,0.146288224,1.282216962,0.268737542,0.194285039,0.125082923,0,0,0
Fab-2,0.005119484,0.115750569,0,0,0,0,13.58322513,0,0.233107536,0.203907057,0.054845056,0,0,1.947503703,0.259509002,0.298673257,0.012053932,0.02012978,0.538745645,13.90800224,0.233107536,0.022919526,0.074974836,2.486249348,14.14110977,2.561224184,13.81633266,2.118099328,0.005119484,0,0.983666601,0.031206135,0.01197899,0,0.286108718,0.20758706,0.583313282,0.311750348,0.530382511,0.281923001,0,0.045839052,0.026154183
Fab-4,0,0.039658964,0,0,0,0,9.578849666,0,0.122904052,0,0,0,0,0.916018001,0.42586216,0.214131383,0.01600576,0.221299178,0.682594981,9.61850863,0.122904052,0.028402549,0.221299178,1.598612981,9.741412681,1.81991216,9.701753718,0.955676964,0,0,0.988938512,0.102987319,0,0,1,0.442722694,0.655999303,0.214131383,0.326755943,0.199901423,0,0.056805097,0
Fei-0,0,0,0.06110246,1.392775558,4.595655738,0,1.257376603,0,1.829423339,0,0.221847247,0.034248393,0,2.297704099,0.868762192,0.401732743,0.006453579,0.130009667,0.392905384,1.257376603,7.817854634,0,0.351856913,2.690609483,9.075231238,3.042466396,9.136333697,2.519551346,0,5.988431295,0.138013185,0.120600664,0,0,0.366411247,0.146094073,1.276948513,0.401732743,0.310352041,0.173712845,0,0,0
Ga-0,0.13862396,0.056108475,0,0.131085537,0.435710279,0,10.07163002,0.158632555,2.249802173,0,0.026892482,0.050379943,0,1.079553529,1.099216361,0.192387729,0.043049312,0.028979371,0.620091307,10.26636245,2.816597989,0.158632555,0.055871852,1.699644836,13.08296044,1.755516688,12.88822801,1.321187041,0.13862396,0.566795817,0.797879537,0.041188893,0,0,0.740416159,0.36582977,1.334653402,0.192387729,0.145441978,0.28965173,0,0,0
Got-22,0,0,0,0,0,0,8.610895774,0,0.026420583,0,0,0,0,0.759638184,0.904252808,0.146069952,0.012205424,0.009817127,0.446797663,8.610895774,0.026420583,0,0.009817127,1.206435847,8.637316356,1.216252974,8.637316356,0.759638184,0,0,0.997475836,0.008717856,0,0,0.5,0.36702594,1.062528184,0.146069952,0.140707659,0.089151182,0,0,0
Got-7,0.030695274,0,0,0,0.008778649,0,5.69049063,0,0,0,0,0,0,0.463743086,0.776200413,0.140893752,0.007728665,0,0.369980459,5.721185904,0.008778649,0,0,0.833723545,5.729964552,0.833723545,5.699269278,0.463743086,0.030695274,0.008778649,0.998548853,0,0,0,0,0.436818629,0.92482283,0.140893752,0.153711798,0.10550497,0,0,0
Gu-0,0,0.107394491,0,0,0,0.602984511,0,0,0.017771929,0,0.02904937,0.014791938,0.489947885,1.035335925,0.442205151,0.24934636,0.014475297,0.011712166,0.347657043,0.107394491,1.110704324,0,0.040761535,1.382992969,1.218098815,1.423754504,0.017771929,1.774764297,0,0,0.082450891,0.027961578,0,0.248466836,0.5,0.253288841,0.706026807,0.24934636,0.373724965,0.285773392,0,0,0
Gy-0,0.147501964,0.069675537,0.095898755,1.651948655,5.285169503,0,1.245780137,0.036255585,1.442971376,0.016302357,0.24850872,0.066308588,0,1.677048962,1.063960824,0.263660928,0.008357037,0.376436007,0.432444166,1.479259994,8.380089535,0.036255585,0.624944727,2.109493127,9.859349529,2.734437854,9.721768427,2.031488803,0.147501964,6.937118159,0.155878481,0.296467505,0.011843931,0,0.613397962,0.221272189,1.335978789,0.263660928,0.202221713,0.081384752,0,0,0
HR-10,0,0.043554506,0.122889611,1.588485566,5.147970375,0,1.014712593,0.040267377,2.11472667,0,0.095690663,0.060701097,0,0.938180901,0.741554019,0.275215877,0.012958403,0.106837713,0.394915504,1.058267098,8.851182611,0.079133858,0.202528375,1.333096405,9.909449709,1.53562478,9.988784815,1.117693446,0,6.736455941,0.106724197,0.142331023,0,0,0.533580076,0.298632637,1.029728299,0.275215877,0.268091152,0.154061263,0,0.077732963,0
HR-5,0,0,0.136810663,1.55742932,5.095735356,0,0.214229355,0.07669105,2.886132762,0,0.102059765,0.075527854,0,1.105603536,1.109003669,0.244176691,0.01350172,0.09284454,0.390805826,0.214229355,9.539297437,0.110024515,0.194904306,1.496409362,9.753526792,1.691313667,9.890337456,1.284354351,0,6.653164676,0.021949452,0.124787206,0,0,0.47333657,0.257485832,1.36668208,0.244176691,0.181386671,0.093891258,0,0.066666929,0
Kas-2,0,0.096221494,0,0,0.065009122,0,5.409797262,0,9.924900189,0,0,0,0,0.38139335,0.688600065,0.496215936,0.040576239,0.013759241,0.445250227,5.506018756,9.989909311,0,0.013759241,0.826643577,15.49592807,0.840402818,15.39970657,0.477614844,0,0.065009122,0.384441496,0.031144071,0,0,1,0.620200784,1.22539224,0.496215936,0.405404727,0.253001327,0,0,0
Kin-0,0.015869906,0.096367543,0.105565184,2.277956495,7.643787347,0,0.687052967,0,2.798335984,0,0.260588003,0.379523585,0,1.351280395,1.14556716,0.222438608,0.010565856,0.256673937,0.353586809,0.799290415,12.72007983,0,0.51726194,1.704867204,13.51937024,2.222129143,13.51269798,1.708235941,0.015869906,9.921743842,0.059182928,0.236512242,0,0,0.435289386,0.206880074,1.378571624,0.222438608,0.16392336,0.085816648,0,0,0
Knox-10,0,0.013675289,0,0,0,0,6.12483744,0.058484126,0,0.014961454,0,0,0,0.634011365,0.541416239,0.151886687,0,0.006576932,0.449395385,6.153474184,0,0.058484126,0.006576932,1.08340675,6.153474184,1.089983682,6.12483744,0.70617078,0,0,1,0.010806158,0.001841532,0,0.5,0.44919886,0.694159621,0.152743382,0.216224796,0.144449573,0,0,0.00171339
